"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "Python", "Markdown", "pip requirements", "JavaScript", "JSON", "JSON with Comments", "HTML", "XML", "comment", "blank", "total"
"/Users/kotnewm/chat-thingy/README.md", "Markdown", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 26, 92
"/Users/kotnewm/chat-thingy/chat-backend/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kotnewm/chat-thingy/chat-backend/api/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/kotnewm/chat-thingy/chat-backend/api/app.py", "Python", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 6, 43
"/Users/kotnewm/chat-thingy/chat-backend/api/routes/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/kotnewm/chat-thingy/chat-backend/api/routes/accounts.py", "Python", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 4, 14, 91
"/Users/kotnewm/chat-thingy/chat-backend/api/routes/chat.py", "Python", 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 35, 55, 340
"/Users/kotnewm/chat-thingy/chat-backend/api/routes/chats.py", "Python", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 4, 16, 103
"/Users/kotnewm/chat-thingy/chat-backend/api/routes/graph.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/kotnewm/chat-thingy/chat-backend/api/routes/http_stream.py", "Python", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 18, 22, 171
"/Users/kotnewm/chat-thingy/chat-backend/api/routes/messages.py", "Python", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 9, 58
"/Users/kotnewm/chat-thingy/chat-backend/api/utils.py", "Python", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/kotnewm/chat-thingy/chat-backend/auth.py", "Python", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 7, 41
"/Users/kotnewm/chat-thingy/chat-backend/benchmark_m3.py", "Python", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 7, 29, 134
"/Users/kotnewm/chat-thingy/chat-backend/db.py", "Python", 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 16, 36, 229
"/Users/kotnewm/chat-thingy/chat-backend/embeddings.py", "Python", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 30, 32, 156
"/Users/kotnewm/chat-thingy/chat-backend/graph.py", "Python", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 12, 52
"/Users/kotnewm/chat-thingy/chat-backend/llm.py", "Python", 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 40, 50, 338
"/Users/kotnewm/chat-thingy/chat-backend/main.py", "Python", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 5, 31
"/Users/kotnewm/chat-thingy/chat-backend/models.py", "Python", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 3, 14, 79
"/Users/kotnewm/chat-thingy/chat-backend/preload_models.py", "Python", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 8, 36
"/Users/kotnewm/chat-thingy/chat-backend/prompt_builder.py", "Python", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 14, 11, 65
"/Users/kotnewm/chat-thingy/chat-backend/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/kotnewm/chat-thingy/chat-backend/summarizer.py", "Python", 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 31, 66, 260
"/Users/kotnewm/chat-thingy/chat-backend/vectorstore.py", "Python", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 19, 28, 160
"/Users/kotnewm/chat-thingy/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"/Users/kotnewm/chat-thingy/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"/Users/kotnewm/chat-thingy/notification-test.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 18, 162
"/Users/kotnewm/chat-thingy/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7682, 0, 0, 0, 0, 1, 7683
"/Users/kotnewm/chat-thingy/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 48
"/Users/kotnewm/chat-thingy/public/chat-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/kotnewm/chat-thingy/public/icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/kotnewm/chat-thingy/src/App.tsx", "TypeScript JSX", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 94
"/Users/kotnewm/chat-thingy/src/api/accountsApi.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 60
"/Users/kotnewm/chat-thingy/src/api/chatApi.ts", "TypeScript", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 36, 245
"/Users/kotnewm/chat-thingy/src/api/chatsApi.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 64
"/Users/kotnewm/chat-thingy/src/api/client.ts", "TypeScript", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 30, 224
"/Users/kotnewm/chat-thingy/src/api/index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"/Users/kotnewm/chat-thingy/src/api/messagesApi.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 37
